   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      104    0.000    0.000    0.001    0.000 dataclasses.py:723(_get_field)
     1147    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     1074    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
     1074    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      219    0.000    0.000    0.005    0.000 __init__.py:846(_normalized_name)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      893    0.000    0.000    0.004    0.000 registry.py:584(get_name)
      380    0.000    0.000    0.000    0.000 flexparser.py:87(set_position)
     2796    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      872    0.000    0.000    0.000    0.000 __init__.py:99(section_pairs)
      556    0.000    0.000    0.001    0.000 unit.py:131(iter_all_base_units)
      874    0.000    0.000    0.001    0.000 util.py:655(__hash__)
       97    0.000    0.000    0.001    0.000 definitions.py:126(__post_init__)
      407    0.000    0.000    0.001    0.000 __init__.py:113(read)
     1218    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
     1086    0.000    0.000    0.007    0.000 pathlib.py:757(joinpath)
       68    0.000    0.000    0.008    0.000 plain.py:140(from_string_and_config)
        6    0.000    0.000    0.114    0.019 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      9/2    0.000    0.000    0.010    0.005 _build_tlz.py:54(exec_module)
      446    0.000    0.000    0.002    0.000 util.py:546(__init__)
       75    0.000    0.000    0.005    0.000 dataclasses.py:528(_init_fn)
      504    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
      123    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      189    0.000    0.000    0.004    0.000 registry.py:757(_get_root_units)
        1    0.000    0.000    0.000    0.000 linalg.py:2191(lstsq)
     2296    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
      756    0.000    0.000    0.001    0.000 __init__.py:193(__init__)
     1867    0.000    0.000    0.001    0.000 <frozen _collections_abc>:835(__iter__)
       78    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
  320/111    0.000    0.000    0.002    0.000 pint_eval.py:89(evaluate)
      444    0.000    0.000    0.005    0.000 pathlib.py:504(_from_parts)
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
      512    0.000    0.000    0.001    0.000 typing.py:1287(__getattr__)
      314    0.000    0.000    0.001    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
     1336    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
      620    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      288    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
      220    0.000    0.000    0.005    0.000 __init__.py:358(__new__)
      336    0.000    0.000    0.001    0.000 inspect.py:310(ismethoddescriptor)
     1164    0.000    0.000    0.000    0.000 __init__.py:118(valid)
      312    0.000    0.000    0.007    0.000 _signatures.py:625(expand_sig)
        2    0.000    0.000    0.007    0.004 _signatures.py:662(create_signature_registry)
     1160    0.000    0.000    0.001    0.000 inspect.py:755(_is_wrapper)
      111    0.000    0.000    0.001    0.000 tokenize.py:299(detect_encoding)
      242    0.000    0.000    0.010    0.000 registry.py:1030(_dedup_candidates)
      561    0.000    0.000    0.000    0.000 backends.py:333(<dictcomp>)
      119    0.000    0.000    0.001    0.000 quantity.py:204(__new__)
      706    0.000    0.000    0.000    0.000 _signatures.py:601(<genexpr>)
      152    0.000    0.000    0.003    0.000 typing.py:1563(__getitem__)
      662    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
     3249    0.000    0.000    0.000    0.000 inspect.py:2751(kind)
      756    0.000    0.000    0.000    0.000 __init__.py:221(_for)
     3326    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      735    0.000    0.000    0.002    0.000 zipfile.py:2235(<genexpr>)
      545    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
     2343    0.000    0.000    0.000    0.000 mymatrix.py:106(__setitem__)
       28    0.000    0.000    0.001    0.000 _backend.py:306(get_defaults)
      484    0.000    0.000    0.001    0.000 util.py:669(__eq__)
      278    0.000    0.000    0.000    0.000 _parser.py:1092(expand_template)
      478    0.000    0.000    0.001    0.000 util.py:814(__new__)
